"CAN","TB1","12","17","XTB1-12","","","801","01",
"CAN","TB1","13","8","XTB1-13","","","801","01",
"CAN","TB1","14","18","XTB1-14","","","801","01",
"CAN","TB1","15","9","XTB1-15","","","801","01",
"CAN","TB1","16","19","XTB1-16","","","801","01",
"CAN","TB1","17","10","XTB1-17","","","801","01",
"CAN","TB1","18","20","XTB1-18","","","801","01",
"CAN","TB1","2","36","XTB1-2","","","801","01",
"CAN","TB1","3","33","XTB1-3","","","801","01",
"CAN","TB1","4","39","XTB1-4","","","801","01",
"CAN","TB2","1","25","XTB2-1","","","801","01",
"CAN","TB2","2","26","XTB2-2","","","801","01",
"CAN","TB2","3","27","XTB2-3","","","801","01",
