"DC","K4","43","266","SK4-43","1","","402","04",
"DC","K4","44","145","SK4-43","1","","402","04",
"DC","K4","A","2701","RK4","472","","402","04",
"DC","K4","B","PC1-105","RK4","472","","402","04",
"DC","L1","1","246","L1","28","","405","01",
"DC","L1","2","172","L1","28","","405","01",
"DC","L2","1","247","L2","28","","405","01",
"DC","L2","2","172","L2","28","","405","01",
"DC","L21","1","241","L21","28","","402","01",
"DC","L21","2","226","L21","28","","402","01",
"DC","L22","1","242","L22","28","","402","01",
"DC","L22","2","226","L22","28","","402","01",
"DC","L23","1","243","L23","28","","402","02",
"DC","L23","2","230","L23","28","","402","02",
"DC","L24","1","244","L24","28","","402","02",
"DC","L24","2","232","L24","28","","402","02",
"DC","L25","1","249","L25","28","","405","01",
"DC","L25","2","172","L25","28","","405","01",
"DC","L26","1","179","L26","28","","405","01",
"DC","L26","2","172","L26","28","","405","01",
"DC","L3","1","248","L3","28","","405","01",
"DC","L3","2","172","L3","28","","405","01",
"DC","L31","1","309","L31","28","","406","01",
"DC","L31","2","269","L31","28","","406","01",
"DC","L32","1","310","L32","28","","406","01",
"DC","L32","2","269","L32","28","","406","01",
"DC","L33","1","305","L33","28","","406","01",
"DC","L33","2","269","L33","28","","406","01",
"DC","L34","1","308","L34","28","","406","01",
"DC","L34","2","269","L34","28","","406","01",
"DC","L35","1","488","L35","28","","406","01",
"DC","L35","2","269","L35","28","","406","01",
"DC","L36","1","180","L36","28","","405","02",
"DC","L36","2","172","L36","28","","405","02",
"DC","L4","1","131","L4","28","","405","01",
"DC","L4","2","172","L4","28","","405","01",
"DC","M1","[+]","219","RM1","50","","401","01",
"DC","M1","[-]","0","RM1","50","","401","01",
"DC","PC1","1","0","XPC1-01","","","402","01",
"DC","PC1","10","260","XPC1-10","","","402","01",
"DC","PC1","11","236","XPC1-11","","","402","01",
"DC","PC1","12","238","XPC1-12","","","402","01",
"DC","PC1","13","0","XPC1-13","","","402","01",
"DC","PC1","14","215","XPC1-14","","","402","01",
"DC","PC1","15","263","XPC1-15","","","402","04",
"DC","PC1","16","264","XPC1-16","","","402","04",
"DC","PC1","17","265","XPC1-17","","","402","04",
"DC","PC1","18","266","XPC1-18","","","402","04",
"DC","PC1","19","145","XPC1-19","","","402","04",
"DC","PC1","2","102","XPC1-02","","","402","01",
"DC","PC1","20","144","XPC1-20","","","402","04",
"DC","PC1","21","218","XPC1-21","","","401","01",
"DC","PC1","22","226","XPC1-22","","","402","01",
"DC","PC1","24","101","XPC1-24","","","402","01",
"DC","PC1","25","132","XPC1-25","","","401","01",
"DC","PC1","26","226","XPC1-26","","","402","01",
"DC","PC1","28","118","XPC1-28","","","402","01",
"DC","PC1","29","135","XPC1-29","","","401","01",
"DC","PC1","3","119","XPC1-03","","","402","01",
"DC","PC1","31","230","XPC1-31","","","402","02",
"DC","PC1","32","137","XPC1-32","","","402","02",
"DC","PC1","33","169","XPC1-33","","","401","01",
"DC","PC1","34","232","XPC1-34","","","402","02",
"DC","PC1","35","2701","XPC1-35","","","402","04",
"DC","PC1","36","158","XPC1-36","","","402","02",
"DC","PC1","37","PC1-105","XPC1-37","","","402","04",
"DC","PC1","38","108","XPC1-38","","","402","04",
"DC","PC1","4","139","XPC1-04","","","402","01",
"DC","PC1","40","109","XPC1-40","","","402","04",
"DC","PC1","5","160","XPC1-05","","","402","01",
"DC","PC2","1","LTEST12N","XPC2-01","","","406","01",
"DC","PC2","10","0","XPC2-10","","","406","01",
"DC","PC2","11","185","XPC2-11","","","406","01",
"DC","PC2","12","309","XPC2-12","","","406","01",
"DC","PC2","13","186","XPC2-13","","","406","01",
"DC","PC2","14","310","XPC2-14","","","406","01",
"DC","PC2","15","270","XPC2-15","","","406","01",
"DC","PC2","16","311","XPC2-16","","","406","01",
"DC","PC2","17","303","XPC2-17","","","406","01",
"DC","PC2","18","269","XPC2-18","","","406","01",
"DC","PC2","19","174","XPC2-19","","","406","01",
"DC","PC2","2","182","XPC2-02","","","406","01",
"DC","PC2","20","174","XPC2-20","","","406","01",
"DC","PC2","3","304","XPC2-03","","","406","01",
"DC","PC2","4","183","XPC2-04","","","406","01",
"DC","PC2","5","305","XPC2-05","","","406","01",
"DC","PC2","6","184","XPC2-06","","","406","01",
"DC","PC2","7","308","XPC2-07","","","406","01",
"DC","PC2","8","172","XPC2-08","","","406","01",
"DC","PC2","9","172","XPC2-09","","","406","01",
"DC","POT1A","1","116","P1A","1000","","402","01",
"DC","POT1A","2","238","P1A","1000","","402","01",
"DC","POT1A","3","107","P1A","1000","","402","01",
"DC","POT1B","1","212","P1B","1000","","402","01",
"DC","POT1B","2","236","P1B","1000","","402","01",
"DC","POT1B","3","124","P1B","1000","","402","01",
"DC","POT2A","1","136","P2A","1000","","402","02",
"DC","POT2A","2","238","P2A","1000","","402","02",
"DC","POT2A","3","143","P2A","1000","","402","02",
"DC","POT2B","1","157","P2B","1000","","402","02",
"DC","POT2B","2","236","P2B","1000","","402","02",
"DC","POT2B","3","164","P2B","1000","","402","02",
"DC","POT3A","1","212","P3A","1000","","402","05",
"DC","POT3A","2","236","P3A","1000","","402","05",
"DC","POT3A","3","110","P3A","1000","","402","05",
"DC","POT3B","1","136","P3B","1000","","402","05",
"DC","POT3B","2","238","P3B","1000","","402","05",
"DC","POT3B","3","146","P3B","1000","","402","05",
"DC","POT4A","1","212","P4A","1000","","402","03",
"DC","POT4A","2","236","P4A","1000","","402","03",
"DC","POT4A","3","130","P4A","1000","","402","03",
"DC","POT4B","1","136","P4B","1000","","402","03",
"DC","POT4B","2","238","P4B","1000","","402","03",
"DC","POT4B","3","151","P4B","1000","","402","03",
"DC","POT5A","1","212","P5A","1000","","402","03",
"DC","POT5A","2","236","P5A","1000","","402","03",
"DC","POT5A","3","239","P5A","1000","","402","03",
"DC","POT5B","1","136","P5B","1000","","402","03",
"DC","POT5B","2","238","P5B","1000","","402","03",
"DC","POT5B","3","154","P5B","1000","","402","03",
"DC","POTFT","1","136","PFT","1000","","402","05",
"DC","POTFT","2","211","PFT","1000","","402","05",
"DC","POTFT","3","112","PFT","1000","","402","05",
"DC","RALM","1","303","RALM","1000","","406","01",
"DC","RALM","2","172","RALM","1000","","406","01",
"DC","RCAL1","1","218","RCAL1","2500","","401","01",
"DC","RCAL1","2","219","RCAL1","2500","","401","01",
"DC","RP406-01","1","172","RP406-01","10000","","406","01",
"DC","RP406-01","1","172","RP406-06","10000","","406","01",
"DC","RP406-01","2","182","RP406-01","10000","","406","01",
"DC","RP406-01","2","270","RP406-06","10000","","406","01",
"DC","RP406-02","1","172","RP406-02","10000","","406","01",
"DC","RP406-02","2","183","RP406-02","10000","","406","01",
"DC","RP406-03","1","172","RP406-03","10000","","406","01",
