"; *** SCR1","K5","Q","2651","SK5-Q","1","",
"DC","PC1","26","226","XPC1-26","","",
"DC","PC1","28","118","XPC1-28","","",
"DC","PC1","29","135","XPC1-29","","",
"DC","PC1","3","119","XPC1-03","","",
"DC","PC1","31","230","XPC1-31","","",
"DC","PC1","32","137","XPC1-32","","",
"DC","PC1","33","169","XPC1-33","","",
"DC","PC1","34","232","XPC1-34","","",
"DC","PC1","35","2701","XPC1-35","","",
"DC","PC1","36","158","XPC1-36","","",
"DC","PC1","38","108","XPC1-38","","",
"DC","PC1","4","139","XPC1-04","","",
"DC","PC1","40","109","XPC1-40","","",
"DC","PC1","5","160","XPC1-05","","",
"DC","POT1A","1","116","P1A","1000","",
"DC","POT1A","2","238","P1A","1000","",
"DC","POT1A","3","107","P1A","1000","",
"DC","POT1B","1","212","P1B","1000","",
"DC","POT1B","2","236","P1B","1000","",
"DC","POT1B","3","124","P1B","1000","",
"DC","POT2A","1","136","P2A","1000","",
"DC","POT2A","2","238","P2A","1000","",
"DC","POT2A","3","143","P2A","1000","",
"DC","POT2B","1","157","P2B","1000","",
"DC","POT2B","2","236","P2B","1000","",
"DC","POT2B","3","164","P2B","1000","",
"DC","POT3A","1","212","P3A","1000","",
"DC","POT3A","2","236","P3A","1000","",
"DC","POT3A","3","110","P3A","1000","",
"DC","POT3B","1","136","P3B","1000","",
"DC","POT3B","2","238","P3B","1000","",
"DC","POT3B","3","146","P3B","1000","",
"DC","POT4A","1","212","P4A","1000","",
"DC","POT4A","2","236","P4A","1000","",
"DC","POT4A","3","130","P4A","1000","",
"DC","POT4B","1","136","P4B","1000","",
"DC","POT4B","2","238","P4B","1000","",
"DC","POT4B","3","151","P4B","1000","",
"DC","POT5A","1","212","P5A","1000","",
"DC","POT5A","2","236","P5A","1000","",
"DC","POT5A","3","239","P5A","1000","",
"DC","POT5B","1","136","P5B","1000","",
"DC","POT5B","2","238","P5B","1000","",
"DC","POT5B","3","154","P5B","1000","",
"DC","POTFT","1","136","PFT","1000","",
"DC","POTFT","2","","PFT","1000","",
"DC","POTFT","3","112","PFT","1000","",
"DC","RCAL1","1","218","RCAL1","2500","",
"DC","RCAL1","2","219","RCAL1","2500","",
"DC","RPC1-1","1","PC1-102","RPC1-1","47","",
"DC","RPC1-1","2","236","RPC1-1","47","",
"DC","RPC1-2","1","PC1-101","RPC1-2","47","",
"DC","RPC1-2","2","238","RPC1-2","47","",
"DC","RPC1-3","1","PC1-101","RPC1-3","47","",
"DC","RPC1-3","2","260","RPC1-3","47","",
"DC","RSCR1","1","SCR1-02","RSCR1","1000","",
"DC","RSCR1","2","SCR1-01","RSCR1","1000","",
"DC","S1","A1","102","S1-A1","1","",
"DC","S1","A10","102","S1-A10","1","",
"DC","S1","A11","102","S1-A11","1","",
"DC","S1","A2","102","S1-A2","1","",
"DC","S1","A3","102","S1-A3","1","",
"DC","S1","A4","102","S1-A4","1","",
"DC","S1","A8","102","S1-A8","1","",
"DC","S1","A9","102","S1-A9","1","",
"DC","S1","B1","264","S1-A1","1","",
"DC","S1","B10","263","S1-A10","1","",
"DC","S1","B11","330","S1-A11","1","",
"DC","S1","B2","330","S1-A2","1","",
"DC","S1","B3","330","S1-A3","1","",
"DC","S1","B4","330","S1-A4","1","",
"DC","S1","B8","263","S1-A8","1","",
"DC","S1","B9","263","S1-A9","1","",
"DC","S1","C1","119","S1-C1","1","",
"DC","S1","C10","119","S1-C10","1","",
"DC","S1","C11","119","S1-C11","1","",
"DC","S1","C2","119","S1-C2","1","",
"DC","S1","C3","119","S1-C3","1","",
"DC","S1","C4","119","S1-C4","1","",
"DC","S1","C8","119","S1-C8","1","",
"DC","S1","C9","119","S1-C9","1","",
"DC","S1","D1","335","S1-C1","1","",
"DC","S1","D10","335","S1-C10","1","",
"DC","S1","D11","322","S1-C11","1","",
"DC","S1","D2","318","S1-C2","1","",
"DC","S1","D3","322","S1-C3","1","",
"DC","S1","D4","318","S1-C4","1","",
"DC","S1","D8","322","S1-C8","1","",
"DC","S1","D9","322","S1-C9","1","",
"DC","S1","E1","139","S1-E1","1","",
"DC","S1","E10","139","S1-E10","1","",
"DC","S1","E11","139","S1-E11","1","",
"DC","S1","E2","139","S1-E2","1","",
"DC","S1","E3","139","S1-E3","1","",
"DC","S1","E4","139","S1-E4","1","",
"DC","S1","E8","139","S1-E8","1","",
"DC","S1","E9","139","S1-E9","1","",
"DC","S1","F1","336","S1-E1","1","",
"DC","S1","F10","319","S1-E10","1","",
"DC","S1","F11","265","S1-E11","1","",
"DC","S1","F2","266","S1-E2","1","",
"DC","S1","F3","319","S1-E3","1","",
"DC","S1","F4","336","S1-E4","1","",
"DC","S1","F8","336","S1-E8","1","",
"DC","S1","F9","319","S1-E9","1","",
"DC","S1","G1","160","S1-G1","1","",
"DC","S1","G10","160","S1-G10","1","",
"DC","S1","G11","160","S1-G11","1","",
"DC","S1","G2","160","S1-G2","1","",
"DC","S1","G3","160","S1-G3","1","",
"DC","S1","G4","160","S1-G4","1","",
"DC","S1","G8","160","S1-G8","1","",
"DC","S1","G9","160","S1-G9","1","",
"DC","S1","H1","320","S1-G1","1","",
"DC","S1","H10","323","S1-G10","1","",
"DC","S1","H11","320","S1-G11","1","",
"DC","S1","H2","331","S1-G2","1","",
"DC","S1","H3","331","S1-G3","1","",
"DC","S1","H4","323","S1-G4","1","",
"DC","S1","H8","320","S1-G8","1","",
"DC","S1","H9","331","S1-G9","1","",
"DC","S11","1","172","S11-1","1","",
"DC","S11","2","LTEST12P","S11-1","1","",
"DC","S11","3","174","S11-3","1","",
"DC","S11","4","LTEST12N","S11-3","1","",
"DC","S2","1","330","S2-1","1","",
"DC","S2","2","106","S2-1","1","",
"DC","S2","3","335","S2-3","1","",
"DC","S2","4","123","S2-3","1","",
"DC","S2","5","174","S2-5","1","",
"DC","S2","6","189","S2-5","1","",
"DC","S3","1","104","S3-1","0","",
"DC","S3","2","105","S3-1","0","",
"DC","S3","3","121","S3-3","0","",
"DC","S3","4","122","S3-3","0","",
"DC","S3","5","140","S3-5","0","",
"DC","S3","6","141","S3-5","0","",
"DC","S3","7","161","S3-7","0","",
"DC","S3","8","162","S3-7","0","",
"DC","S4","1","336","S4-1","1","",
"DC","S4","2","142","S4-1","1","",
"DC","S4","3","331","S4-3","1","",
"DC","S4","4","163","S4-3","1","",
"DC","S4","5","174","S4-5","1","",
"DC","S4","6","190","S4-5","1","",
"DC","S5","1","322","S5-1","1","",
"DC","S5","10","187","S5-9","1","",
"DC","S5","11","174","S5-11","1","",
"DC","S5","12","187","S5-11","1","",
"DC","S5","13","215","S5-13","1","",
"DC","S5","14","2701","S5-13","1","",
"DC","S5","2","125","S5-1","1","",
"DC","S5","3","322","S5-3","1","",
"DC","S5","4","126","S5-3","1","",
"DC","S5","5","323","S5-5","1","",
"DC","S5","6","165","S5-5","1","",
"DC","S5","7","323","S5-7","1","",
"DC","S5","8","166","S5-7","1","",
"DC","S5","9","174","S5-9","1","",
"DC","S6","1","318","S6-1","1","",
"DC","S6","10","167","S6-9","1","",
"DC","S6","11","320","S6-11","1","",
"DC","S6","12","168","S6-11","1","",
"DC","S6","13","174","S6-13","1","",
"DC","S6","14","188","S6-13","1","",
"DC","S6","15","174","S6-15","1","",
"DC","S6","16","188","S6-15","1","",
"DC","S6","2","128","S6-1","1","",
"DC","S6","3","318","S6-3","1","",
"DC","S6","4","129","S6-3","1","",
"DC","S6","5","319","S6-5","1","",
"DC","S6","6","149","S6-5","1","",
"DC","S6","7","319","S6-7","1","",
"DC","S6","8","150","S6-7","1","",
"DC","S6","9","320","S6-9","1","",
"DC","S7","C","189","S7A","1","",
"DC","S7","NO","191","S7A","1","",
"DC","S8","C","190","S8A","1","",
"DC","S8","NO","192","S8A","1","",
"DC","S9A","C","260","S9A","1","",
"DC","S9A","NO","","S9A","1","",
"DC","TB11","1","172","X1101","","",
"DC","TB11","2","172","X1102","","",
"DC","TB11","3","172","X1103","","",
"DC","TB11","4","172","X1104","","",
"DC","TB11","4","172","X1104","","",
"DC","TB11","5","172","X1105","","",
"DC","TB11","6","172","X1106","","",
"DC","TB5","17","131","X0417","","",
"DC","TB7","1","","X0701","","",
"DC","TB7","2","112","X0702","","",
"DC","TB7","3","136","X0703","","",
"DC","TB7","8","218","X0708","","",
"DC","TB7","9","219","X0709","","",
"DC","TB8","1","102","X0801","","",
"DC","TB8","10","226","X0810","","",
"DC","TB8","11","230","X0811","","",
"DC","TB8","12","232","X0812","","",
"DC","TB8","13","LTEST12N","X0813","","",
"DC","TB8","14","LTEST12N","X0814","","",
"DC","TB8","15","LTEST12N","X0815","","",
"DC","TB8","16","LTEST12N","X0816","","",
"DC","TB8","17","LTEST12N","X0817","","",
"DC","TB8","18","LTEST12N","X0818","","",
"DC","TB8","2","LTEST12N","X0802","","",
"DC","TB8","3","119","X0803","","",
"DC","TB8","4","LTEST12N","X0804","","",
"DC","TB8","5","139","X0805","","",
"DC","TB8","6","LTEST12N","X0806","","",
"DC","TB8","7","160","X0807","","",
"DC","TB8","8","LTEST12N","X0808","","",
"DC","TB8","9","226","X0809","","",
"DC","TB9","1","241","X0901","","",
"DC","TB9","10","LTEST12P","X0910","","",
"DC","TB9","11","LTEST12P","X0911","","",
"DC","TB9","12","LTEST12P","X0912","","",
"DC","TB9","13","246","X0913","","",
"DC","TB9","14","247","X0914","","",
"DC","TB9","15","248","X0915","","",
"DC","TB9","16","131","X0916","","",
"DC","TB9","17","249","X0917","","",
"DC","TB9","18","179","X0918","","",
"DC","TB9","19","180","X0919","","",
"DC","TB9","19","LTEST12N","X0819","","",
"DC","TB9","3","242","X0903","","",
"DC","TB9","5","243","X0905","","",
"DC","TB9","7","244","X0907","","",
"DC","TB9","9","LTEST12P","X0909","","",
"DC","XPC1","23","128","XPC123","","",
"DC","XPC1","27","149","XPC127","","",
"DC","XPC1","30","167","XPC130","","",
"DC","ZPC1-19","A","236","ZPC1-19","8.2","",
"DC","ZPC1-19","K","0","ZPC1-19","8.2","",
"DC","ZPC1-20","A","238","ZPC1-20","8.2","",
